title,alternativeTitle,regDate,subjectCategory,person,referenceIdentifier
타오르는 여인의 초상,PORTRAIT OF A LADY ON FIRE,2019,"드라마,멜로/로맨스","아델 에넬(엘로이즈),노에미 메를랑(마리안느),루아나 바이라미(소피)",http://file.koreafilm.or.kr/thm/02/00/05/20/TN_DPF018438.jpg
PINOY SUNDAY,PINOY SUNDAY,2019,"드라마,코메디","제프리 퀴즌,알레산드라 드 로지",http://file.koreafilm.or.kr/thm/02/00/05/43/TN_DPF019785.jpg
오즈의 마법사: 요술구두와 말하는 책,FANTASTIC RETURN TO OZ,2019,"코메디,가족","김소희(도로시 목소리),허성재(팀 목소리),석승훈(어핀 목소리)",http://file.koreafilm.or.kr/thm/02/00/05/43/TN_DPF019782.jpg
탈출,(TALCHUL),2019,드라마,"전지학(병수),홍예서(영주),이소은(학생1)",http://file.koreafilm.or.kr/thm/02/00/05/43/TN_DPK015345.jpg
지푸라기라도 잡고 싶은 짐승들,BEASTS CLAWING AT STRAWS (JIPURAGIRADO JAPGO SIPEUN JIMSEUNGDEUL),2019,"범죄,스릴러","전도연(연희),정우성(태영),배성우(중만)",http://file.koreafilm.or.kr/thm/02/00/05/43/TN_DPK015340.jpg
브라 이야기,THE BRA,2019,"코메디,드라마","미키 마노즐로빅,드니 라방,파즈 베가",http://file.koreafilm.or.kr/thm/02/00/05/42/TN_DPF019757.jpg
"하이큐!! 땅 VS 하늘, 공의 길",HAIKYUU!!: LAND VS. SKY,2019,스포츠, ,http://file.koreafilm.or.kr/thm/02/00/05/42/TN_DPF019740.jpg
여성전선,A WOMAN'S WAR (YEOSEONGJEONSEON),2019,"멜로/로맨스,코메디","조미령(옥란),박암(전우현),이민(유상호)",http://file.koreafilm.or.kr/thm/02/00/05/43/TN_DPK015333.jpg
폴터,POLTER,2019,코메디, ,http://file.koreafilm.or.kr/thm/02/00/05/43/TN_DPF019779.jpg
주디와 펀치의 위험한 관계,JUDY AND PUNCH,2019,"드라마,코메디,범죄,스릴러","미아 와시코브스카,데이몬 헤리맨,톰 버지",http://file.koreafilm.or.kr/thm/02/00/05/43/TN_DPF019778.jpg
비바리움,VIVARIUM,2019,"SF,드라마,공포","이모겐 푸츠,제시 아이젠버그,조나단 아리스",http://file.koreafilm.or.kr/thm/02/00/05/43/TN_DPF019777.jpg
애더레이션,ADORATION,2019,"드라마,스릴러","토마 지오리아,팡틴 아흐뒤엥,브느와 뽀엘부르드",http://file.koreafilm.or.kr/thm/02/00/05/43/TN_DPF019776.jpg
포르투나의 눈동자,FORTUNA'S EYE,2019,"멜로드라마,판타지","카미키 류노스케(키야마 신이치로),아리무라 카스미(키류 아오이),시손 쥰(카네다 다이키)",http://file.koreafilm.or.kr/thm/02/00/05/43/TN_DPF019775.jpg
달나라에 사는 여인,FROM THE LAND OF THE MOON,2019,"드라마,멜로/로맨스","마리옹 꼬띠아르(가브리엘),루이스 가렐(앙드레 소바쥬),알렉스 브렌데뮬(조세)",http://file.koreafilm.or.kr/thm/02/00/05/43/TN_DPF019774.jpg
소녀가 소녀에게,GIRLS ENCOUNTER,2019,드라마,"호시 모에카(미유리),모토라 세리나(토미타),마츠우라 유야",http://file.koreafilm.or.kr/thm/02/00/05/43/TN_DPF019772.jpg
그레이트 워,THE GREAT WAR,2019,"드라마,전쟁,액션","베이츠 와일더(윌리엄 리버스),하이럼 A.머레이(존 케인),빌리 제인(잭 모리슨)",http://file.koreafilm.or.kr/thm/02/00/05/43/TN_DPF019768.jpg
목격자-눈이 없는 아이,THE BYSTANDER,2019,"스릴러,미스터리,공포","홍수아(첸통),이아남,링옌",http://file.koreafilm.or.kr/thm/02/00/05/43/TN_DPF019767.jpg
배드 밴드,HOLLOW BODY,2019,"SF,공포,스릴러","데이빗 아퀘트(지미),앨리 고니노(레이첼),라이언 도노후(스콧)",http://file.koreafilm.or.kr/thm/02/00/05/42/TN_DPF019766.jpg
적인걸6 - 집요술사,SIDDHI BIOGRAPHY,2019,"액션,드라마,판타지,시대극/사극","백우,황용,강진호",http://file.koreafilm.or.kr/thm/02/00/05/42/TN_DPF019765.jpg
탄젠트 룸,TANGENT ROOM,2019,"SF,스릴러","비 비몰맬(케이트),제니퍼 릴라(캐롤),호칸 율란데르(데이빗)",http://file.koreafilm.or.kr/thm/02/00/05/42/TN_DPF019764.jpg
스파이 지니어스,SPIES IN DISGUISE,2019,"액션,어드벤처,코메디,가족,SF","윌 스미스(랜스 스털링 목소리),톰 홀랜드(월터 베켓 목소리),라시다 존스(마시 목소리)",http://file.koreafilm.or.kr/thm/02/00/05/42/TN_DPF019763.jpg
캡틴 파일럿,THE CAPTAIN,2019,드라마,"장한위,구호,두강",http://file.koreafilm.or.kr/thm/02/00/05/42/TN_DPF019761.jpg
도터 오브 울프,DAUGHTER OF THE WOLF,2019,"액션,스릴러","지나 카라노(클레어 해밀턴),브렌단 페흐(라슨),리차드 드레이퓨스(아버지)",http://file.koreafilm.or.kr/thm/02/00/05/42/TN_DPF019760.jpg
디어스킨,DEERSKIN,2019,"코메디,공포,스릴러","장 뒤자르댕(조르주),아델 에넬(드니즈),알버트 델피",http://file.koreafilm.or.kr/thm/02/00/05/42/TN_DPF019758.jpg
작은 빛,TINY LIGHT (JA-GEUN-BIT),2019,드라마,"곽진무(곽진무),변중희(신숙녀),김현(곽현)",http://file.koreafilm.or.kr/thm/02/00/05/42/TN_DPK015332.jpg
더 프린세스 : 도둑맞은 공주,THE STOLEN PRINCESS,2019,"판타지,코메디","나데즈다 도로페에바,알레키 자고르디",http://file.koreafilm.or.kr/thm/02/00/05/42/TN_DPF019752.jpg
프릭스,FREAKS,2019,"드라마,SF,스릴러,미스터리","에밀 허쉬(아빠),렉시 콜커(클로에),브루스 던(미스터 스노우콘)",http://file.koreafilm.or.kr/thm/02/00/05/43/TN_DPF019789.jpg
발칸라인,BALCAN LINE,2019,"액션,전쟁","안톤 팜부쉬니(안드레이 사탈로프),유리 쿠첸코(벡),밀레나 라둘로비치(자스나)",http://file.koreafilm.or.kr/thm/02/00/05/42/TN_DPF019746.jpg
